from,coord,to,coord,distance_in_miles
Main Street Cinema,"(28.4172281, -81.5810162)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4.248882155572264
Main Street Cinema,"(28.4172281, -81.5810162)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",2174.3765951021032
Main Street Cinema,"(28.4172281, -81.5810162)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",2174.47333792438
Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.09647854067707064
Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.11886360531180974
Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",The Disney Gallery,"(33.8101946, -117.9184302)",0.12098214384602231
Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.2743930210545
Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.115483877332
Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.1251515474062258
Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.06019142126299708
